CLUE_ID,text,ISO2,clue_type,ISO3
24,Another exception is the Dutch islands south-west of Rotterdam that are connected to the Netherlands via road bridges.,['NL'],0,['NLD']
25,"Dashed white lines on both sides of the road are most commonly found in Sweden, Norway and Iceland.","['IS', 'NO', 'SE']",0,"['ISL', 'NOR', 'SWE']"
26,Norway also commonly has yellow centre lines and white side lines.,['NO'],0,['NOR']
27,Sweden commonly has the aforementioned white dashed side lines and a white centre line.,['SE'],0,['SWE']
28,Many main roads in Denmark have this distinct short-dashed edge marking.,['DK'],0,['DNK']
29,"The four countries of South Africa, Botswana, Eswatini and Lesotho tend to have simultaneous yellow edge road lines and white road centre lines for their major roads.","['BW', 'LS', 'SZ', 'ZA']",0,"['BWA', 'LSO', 'SWZ', 'ZAF']"
30,"Yellow side lines and white centre lines are a common sight in South Africa, Botswana, Eswatini and Lesotho.","['BW', 'LS', 'SZ', 'ZA']",0,"['BWA', 'LSO', 'SWZ', 'ZAF']"
31,Russian’s lengthy road network can sometimes be easy to detect due to the crumbling roads.,['RU'],0,['RUS']
32,"European roads tend to be fairly narrow, contrasting the wide roads of the USA and Canada.","['CA', 'US']",0,"['CAN', 'USA']"
33,Although roads in Turkey are often wide with many lanes.,['TR'],0,['TUR']
34,Russia and the Ukraine tend to have black and white coloured stripes painted on their guardrails over areas such as rivers or on twisty roads.,"['RU', 'UA']",0,"['RUS', 'UKR']"
35,Guardrails in the majority of the remainder of Europe tend to be simply silver.,[],0,[]
36,Guardrails in Russia and Ukraine tend to be black and white.,"['RU', 'UA']",0,"['RUS', 'UKR']"
37,The remainder of Europe tends to have silver guardrails.,[],0,[]
38,I have mainly encountered these Rumble strips in Canada and the USA.,"['CA', 'US']",0,"['CAN', 'USA']"
39,On occasions I have seen them somewhere else such as Sweden.,['SE'],0,['SWE']
40,"A Rumble Strip, typically found in the USA and Canada.","['CA', 'US']",0,"['CAN', 'USA']"
41,"For instance, if I notice a Dutch town name, I know the Netherlands is small and I can zoom quite far in on the map and look for towns matching the name I have found.",['NL'],0,['NLD']
42,"Contrastingly, this won’t work well in vast Russia.",['RU'],0,['RUS']
43,"If I see French bollards and houses that look slightly Belgian, I will place the pin somewhere in France near the Belgium border.","['BE', 'FR']",0,"['BEL', 'FRA']"
44,"if you see a blue sky in Japan, you are probably in southern Japan, closer to the equator as opposed to the cold northern Japan.",['JP'],0,['JPN']
45,"In the above image, there are vertical yellow and black stripes on the utility pole which are Japanese.",['JP'],0,['JPN']
46,"The landscape looks more Taiwanese therefore we can deduce that we are on the southern Japanese island of Okinawa, near Taiwan.","['JP', 'TW']",0,"['JPN', 'TWN']"
47,Notice that the bulk of the eastern USA states and western USA coastal states have a maximum speed of 70 miles per hour.,['US'],0,['USA']
48,The central USA states typically have 75 or 80 miles per hour.,['US'],0,['USA']
49,New Zealand appears on the below map as having a maximum speed limit of 110km/h however this limit only applies to a small portion of Kiwi road totalling less than 100km; the maximum speed limit for most of the country is 100km/h.,['NZ'],0,['NZL']
50,I don’t tend to use knowledge of countrys’ speed limits very often but some GeoGuessr players find them useful.,[],0,[]
51,"(Source: Amateria1121, Wikipedia) Note that NZ has a maximum speed limit for most of the country of 100km/h (only two of its roads have a limit of 110km/h).",['NZ'],0,['NZL']
52,In this instance you are 42 miles away from New York.,[],0,[]
53,Using the compass in a situation that you encounter a sign like New York 42 is vital.,[],0,[]
54,You can determine the general direction the road is travelling using the compass (don’t rotate and then drop your computer) and then work out approximately which road approaching New York you are on and estimate about 42 miles along this road.,[],0,[]
55,"If you are in Japan and see a highway 112 sign, then by zooming in on the map you will see Japan’s numbered highway network.",['JP'],0,['JPN']
56,I will detail some specific (and Pacific) highway numbering systems in this section.,[],0,[]
57,"USA County Highways: As an alien to the USA, the highway system took me some deciphering akin to Egyptian hieroglyphics.","['EG', 'US']",0,"['EGY', 'USA']"
58,"Firstly, the smallest highways that are numbered in the USA are county highways.",['US'],0,['USA']
59,An example of a US County Highway sign.,['US'],0,['USA']
60,Another example of a US County Highway sign.,['US'],0,['USA']
61,Texas Farm Roads: These are essentially the Texas equivalent of County Highways.,[],0,[]
62,They provide more useful information than standard county highways as they tell you explicitly that you are in Texas with flashing lights (really just the word printed as ‘Texas’).,[],0,[]
63,A typical Texas farm road sign appears below.,[],0,[]
64,Each Texas road has a unique number (sometimes with a letter) making them useful for zooming in on the map and detecting.,[],0,[]
65,A Texas Farm Road as it appears on the map (the same symbol as US County Highways).,['US'],0,['USA']
66,A sign indicating a US Texas Farm Road.,['US'],0,['USA']
67,"Virtually each state has its own unique state highway sign with a few exceptions: Iowa, Mississippi, Delaware and New Jersey (the cultured area that gifted the world the TV show Jersey Shore).","['JE', 'TV']",0,"['JEY', 'TUV']"
68,State Highways in the USA appear with this symbol on the map.,['US'],0,['USA']
69,A map showing the specific State Highway shield for each USA state.,['US'],0,['USA']
70,"Note that in 2016, North Dakota’s state highway sign switched to an outline of their state with the words ‘North Dakota’ above it.",[],0,[]
71,"Contrastingly, even numbered US highways normally run in an approximate east-west direction.",['US'],0,['USA']
72,If you spot a US highways sign numbered ‘40’ you immediately know that it runs across at least a couple of US states in an east-west general direction.,['US'],0,['USA']
73,The United States Highway Shield.,['US'],0,['USA']
74,"Given this information, US highway 1 is north-south running and hugging the east coast.",['US'],0,['USA']
75,"Contrastingly, US highway 97 runs through the western states north-south.",['US'],0,['USA']
76,"Given this information, US highway 2 snakes just below the Canadian border and runs east-west.","['CA', 'US']",0,"['CAN', 'USA']"
77,I remember the fact that US highways that are even run east west by thinking of the Canadian-US border and thinking that the line is very even.,"['CA', 'US']",0,"['CAN', 'USA']"
78,I remember that US highway that are odd run north south by thinking of the rugged coastline of the US as being uneven or ‘odd’.,['US'],0,['USA']
79,Every highway west of Maine increases in number and every highway south of Maine increases in number.,[],0,[]
80,Now onto the El Chapo of US roads- interstates.,['US'],0,['USA']
81,The shield indicating Interstate Highways for the USA.,['US'],0,['USA']
82,Interstates that are odd numbered run north south and even numbered interstates run east-west.,[],0,[]
83,Odd numbered interstates (north-south running) contain low numbers on the west coast and increase in number towards the east coast.,[],0,[]
84,I remember this interstate numbering system by thinking of California as the state with the lowest numbers both odd and even.,[],0,[]
85,Interstate highways with a blue and red shield have lowest numbers in California.,[],0,[]
86,Both of these road types have odd numbers north-south running (like the uneven US coast) and even numbers east-west running (like the even Canada border).,"['CA', 'US']",0,"['CAN', 'USA']"
87,"Trans-Canada Highways: as the name suggests, these highways span across the country of Canada.",['CA'],0,['CAN']
88,"Provincial highways: Like the USA, Canada has an array of highway types that are bamboozling.","['CA', 'US']",0,"['CAN', 'USA']"
89,A possible symbol indicating a Canadian Provincial Highway on the map.,['CA'],0,['CAN']
90,One of many possible signs indicating a Canadian Provincial Highway.,['CA'],0,['CAN']
91,A map showing the various Canadian Provincial Highway shields.,['CA'],0,['CAN']
92,Federal highways in Mexico feature a black and white shield with a number and the word Mexico at the top of the shield.,['MX'],0,['MEX']
93,"Nonetheless, the numbering system of these highways starts in the north-west of Mexico and increases towards the south-east.",['MX'],0,['MEX']
94,North-south running federal highways are odd and east-west federal highways are even numbered (the same pattern as the aforementioned US).,['US'],0,['USA']
95,Essentially don’t worry too much about learning this system as the federal highways of Mexico aren’t like playing Where’s Wally/Waldo.,['MX'],0,['MEX']
96,A Mexican federal highway shield.,['MX'],0,['MEX']
97,Note the curved sides and word Mexico on top.,['MX'],0,['MEX']
98,State highways in Mexico have a slightly different shield; with straight as opposed to curvy sides.,['MX'],0,['MEX']
99,The state abbreviation is written at the top of Mexican state highways which can prove particularly helpful.,['MX'],0,['MEX']
100,"If you zoom into the map of Mexico to the right level, the states are named and it is fairly self-explanatory to correlate the state highway abbreviation to the associated state.",['MX'],0,['MEX']
101,The only slight room for confusion with Mexican state highways involves the state of Mexico which surrounds Mexico City.,['MX'],0,['MEX']
102,State highways here are abbreviated on signs as ‘MEX’ and shouldn’t be confused with the federal Mexican highways which have ‘MEXICO’ written on them.,['MX'],0,['MEX']
103,A Mexican state highway shield.,['MX'],0,['MEX']
104,"For this example, ‘SON’ represents the Mexican state of Sonora.",['MX'],0,['MEX']
105,Brazilian Regional Highways: These highways are numbered xx-yyy with the xx denoting the name of the state that the highway is running in and the yyy representing a number.,['BR'],0,['BRA']
106,An example is highway SP-280 which means the highway is in the state of São Paulo.,[],0,[]
107,The below chart indicates what state the initials for each Brazilian regional highway represent.,['BR'],0,['BRA']
108,AL= State of Alagoas.,[],0,[]
109,AM= State of Amazonas.,[],0,[]
110,GO= State of Goias.,[],0,[]
111,MA= State of Maranhao.,[],0,[]
112,MS= State of Mato Grosso do Sul.,[],0,[]
113,MG= State of Minas Gerais.,[],0,[]
114,PR= State of Parana.,[],0,[]
115,RN= State of Rio Grande do Norte.,[],0,[]
116,RS= State of Rio Grande do Sul.,[],0,[]
117,SC= State of Santa Catarina.,[],0,[]
118,SE= State of Sergipe.,[],0,[]
119,SP= State of Sao Paulo.,[],0,[]
120,TO= State of Tocantins.,[],0,[]
121,I’m in a state of disbelief that Brazil has so many states.,['BR'],0,['BRA']
122,"After this poorly given, impromptu Brazil geography lesson, I should emphasise again that all of these Brazil regional highway abbreviations can be matched on the map using initials and without memorising the above list.",['BR'],0,['BRA']
123,Brazil National Highways: These are the highways that span multiple Brazilian states.,['BR'],0,['BRA']
124,BR denotes the country of Brazil and it can be handy to see these signs when playing GeoGuessr and immediately knowing what country you are in.,['BR'],0,['BRA']
125,"000-099 denotes a highway travelling radially from the capital, Brasilia.",[],0,[]
126,A Brazil National Highway sign.,['BR'],0,['BRA']
127,"In tandem with E-roads, every country in Europe has their own localised road numbering system with non-E-roads.",[],0,[]
128,A map showing the vast E-road network that spans Europe.,[],0,[]
129,Even numbered E-roads (eg E-34) are typically East-West running.,[],0,[]
130,Odd numbered E-roads (eg E-37) are typically North-South running.,[],0,[]
131,This means that E-1 appears in Ireland and Portugal as these are the westerly parts of Europe.,"['IE', 'PT']",0,"['IRL', 'PRT']"
132,E-99 appears in Turkey as this is an eastern part of Europe.,['TR'],0,['TUR']
133,"For the even numbers, E-4 appears in Sweden and E-98 appears in Turkey.","['SE', 'TR']",0,"['SWE', 'TUR']"
134,E-roads that end in a 0 or a 5 are cross-continental European roads.,[],0,[]
135,A map showing the road numbering systems and signs for each GeoGuessr relevant country in Europe.,['VI'],0,['VIR']
136,Russian highways are confusing partially due to some being renamed/renumbered and the original signs still being in place.,['RU'],0,['RUS']
137,M: Roads numbered M-1 to M-10 connect Moscow with a neighbouring country or connect Moscow with a Russian administrative centre.,['RU'],0,['RUS']
138,P/R: Roads with a ‘P’ prefix are actually written in Russian with the ‘R’ symbol due to their writing system of Cyrillic.,['RU'],0,['RUS']
139,These ‘R’ symbols as they will appear in Russia are followed by a number.,['RU'],0,['RUS']
140,‘R’ roads link administrative centres in Russia.,['RU'],0,['RUS']
141,I have noticed on a map that these roads tend to be numbered with lower numbers further north (numbers less than 120 being north of Moscow typically) and higher numbers further south of Moscow (above 120) but I haven’t read of this system online so be skeptical of my possibly crazy ramblings.,[],0,[]
142,A: Access roads in Russia have the prefix ‘A’.,['RU'],0,['RUS']
143,"Once again, be skeptical of my observations but roads numbered A100-A110 seem to commonly be cyclic roads around the outskirts of Moscow.",[],0,[]
144,Roads A146-A164 seem to be in the south-west corner of Russia.,['RU'],0,['RUS']
145,Look for signs like this in Russia.,['RU'],0,['RUS']
146,These 3 types of Russian roads are the best maintained types of roads in the country and are normally paved and relatively well maintained.,['RU'],0,['RUS']
147,In the far east of Russia some of these roads may still be gravel.,['RU'],0,['RUS']
148,"Road Markers: Fortunately, amidst the geographical and language barriers of Russia there are some further clues.",['RU'],0,['RUS']
149,Poles (the objects not the nationality) on the side of the Russian roads with blue signs have numbers on them.,['RU'],0,['RUS']
150,"An important stipulation with Russian km markers; as you approach a sign and read it as the driver of a vehicle, it tells you how far you have travelled on the highway, the other side of the sign which you have to turn around to see once passing it tells you how far you have left on the highway.",['RU'],0,['RUS']
151,"If a Russian road has numbers above 1000km on it, the road is likely the one to Vladivostok (the city situated just slightly north-east of North Korea).","['KP', 'RU']",0,"['PRK', 'RUS']"
152,A typical Russian road marker pole.,['RU'],0,['RUS']
153,Motorways on the island of Great Britain start with an ‘M’ followed by a number eg M23.,['GB'],0,['GBR']
154,It should be noted that Northern Ireland’s road numbers and letters resemble Great Britain’s road numbers and letters but they in fact have their own system.,"['GB', 'IE']",0,"['GBR', 'IRL']"
155,"Be mindful that if you are spending an inordinate amount of time looking for a road in GB, it may actually be in Northern Ireland.","['GB', 'IE']",0,"['GBR', 'IRL']"
156,"Despite their challenging veneer, pinpointing roads in Spain can be done before you can say Don Quixote, just read ahead (and keep reading the rest of the article unless you for some reason are just a Spanish road aficionado).",['ES'],0,['ESP']
157,Interurban motorways in Spain typically start with A or AP followed by a number eg AP-71.,['ES'],0,['ESP']
158,Radial motorways (R roads) and National roads (N roads) are two more types of roads in Spain.,['ES'],0,['ESP']
159,European roads (E roads) are clearly labelled and easy to find across Spain and indeed all of Europe.,['ES'],0,['ESP']
160,These European roads are doubly unique in Spain as they appear on signs with a dash between the E and the number eg E-90.,['ES'],0,['ESP']
161,This contrasts most of Europe that has no dash between the E and the number eg E25.,[],0,[]
162,This can make recognising or excluding Spain easy just by looking for the dash on E roads.,['ES'],0,['ESP']
163,Many road numbers in Spain start with the letter(s) representing their region.,['ES'],0,['ESP']
164,Eg ‘EX-202’ for a road in the region of Extremadura.,[],0,[]
165,The following is a list of road code abbreviations and their corresponding Spanish province.,['ES'],0,['ESP']
166,AC= A Coruna.,[],0,[]
167,AG= Galicia.,[],0,[]
168,A= Alicante.,[],0,[]
169,AL= Almeria.,[],0,[]
170,ARA= Aragon.,[],0,[]
171,AV= Avila.,[],0,[]
172,AS= Asturias.,[],0,[]
173,B= Barcelona.,[],0,[]
174,C= Catalonia.,[],0,[]
175,CA= Cadiz.,[],0,[]
176,CM= Castile-La Mancha.,[],0,[]
177,CS= Castellon de la Plana.,[],0,[]
178,CV= Cuenca.,[],0,[]
179,EL= Elche.,[],0,[]
180,EX= Extremadura.,[],0,[]
181,H= Huelva.,[],0,[]
182,J= Jaen.,[],0,[]
183,M= Madrid.,[],0,[]
184,MA= Malaga.,[],0,[]
185,MA= Balearic Islands.,[],0,[]
186,MU/RM= Murcia (How Americans pronounce “America”).,['MU'],0,['MUS']
187,O= Oviedo.,[],0,[]
188,SA= Salamanca.,[],0,[]
189,SE= Seville.,[],0,[]
190,T= Tarragona.,[],0,[]
191,TO= Toledo.,[],0,[]
192,V= Valencia.,[],0,[]
193,Z= Zaragoza.,[],0,[]
194,There are some more Spanish road prefixes e.g.,['ES'],0,['ESP']
195,"for Andalusia, the ‘A’ prefix exists with green or orange signs, contrasting the blue ‘A’ signs for interurban motorways.",[],0,[]
196,"Despite this, memorising the Spanish regions isn’t necessary as on most occasions the region is named after the major city within the region.",['ES'],0,['ESP']
197,"If you see a road sign eg TO-22, then look at the GeoGuessr map for large Spanish cities starting with ‘T’ or ‘To’.",['ES'],0,['ESP']
198,You will notice the city of Toledo just south of Madrid and within a few seconds you will see the road: TO-22.,[],0,[]
199,Many Spanish road numbers have letters preceding them indicating the province they are found in.,['ES'],0,['ESP']
200,"LZ, FV, GC, TF, HI, LP, GM/CV before a number indicates the specific island a road is on within the Canary Islands: LZ= Lanzarote, FV= Fuerteventura, GC= Gran Canaria, TF= Tenerife, HI= El Hierro, LP= La Palma, GM/CV= La Gomera.","['TF', 'CV', 'ES', 'GM']",0,"['ATF', 'CPV', 'ESP', 'GMB']"
201,"The country that brought the world IKEA, ABBA and Swedish meatballs.",['SE'],0,['SWE']
202,I’m now informed this wasn’t Norway.,['NO'],0,['NOR']
203,Something Norway definitely did bring the world is Norwegian National roads.,['NO'],0,['NOR']
204,The first digit denotes where in Norway the road is located.,['NO'],0,['NOR']
205,A National road sign in Norway.,['NO'],0,['NOR']
206,National roads in Norway appear like this on the map.,['NO'],0,['NOR']
207,Primary county roads in Norway contain between 1 and 3 digits.,['NO'],0,['NOR']
208,A Primary county road sign in Norway.,['NO'],0,['NOR']
209,Primary county roads in Norway appear like this on the map.,['NO'],0,['NOR']
210,"By simply looking at the first number of the National or primary county road, you can determine the region in Norway you are located.",['NO'],0,['NOR']
211,I created the child-like quality map below to provide a general idea of the zones of the first digits of Norway’s roads.,['NO'],0,['NOR']
212,"There are the occasional exceptions to the zoning number rules such as routes 12 and 17 appearing in the North of Norway as opposed to where they should occur around Oslo (if you are reading this Norway government, please change these roads.",['NO'],0,['NOR']
213,"Also, I would like to thank your country for IKEA, ABBA and Swedish meatballs.).",['SE'],0,['SWE']
214,It’s a good idea to get a general idea of the Norway road number zoning system so you can quickly zoom into the map in the right area.,['NO'],0,['NOR']
215,A general guide to where Norway’s roads are located.,['NO'],0,['NOR']
216,"For instance, if your road starts with a 4 eg 42, then you are in the south or Norway.",['NO'],0,['NOR']
217,"The roads that defy the zoning, numbering rule are routes 12 and 17 which are located in the north of Norway.",['NO'],0,['NOR']
218,"If stereotypes are true, the Swedes produce attractive roads (and people).",[],0,[]
219,National roads in Sweden are denoted by blue background signs with white lettering.,['SE'],0,['SWE']
220,Locating national roads in Sweden is fairly easy.,['SE'],0,['SWE']
221,The numbers gradually increase from low numbers in the south of Sweden to high numbers in the north of Sweden.,['SE'],0,['SWE']
222,"If you see National road number 9 in your travels, you know to focus on the southern part of Sweden on the map to find the corresponding road.",['SE'],0,['SWE']
223,If you see National road number 99 then you know to look at the northern part of Sweden.,['SE'],0,['SWE']
224,One and two digit roads in Sweden with this blue sign denote national roads.,['SE'],0,['SWE']
225,This is what Swedish national roads look like on the map.,['SE'],0,['SWE']
226,Swedish county roads have the same signage as the national roads- blue background and white lettering.,['SE'],0,['SWE']
227,The Swedish county roads are unique as they contain 3 digit numbers as opposed to the national roads’ 2 digit numbers.,['SE'],0,['SWE']
228,Swedish county road numbers range from 100 to 404.,['SE'],0,['SWE']
229,This means road number 100 is in the south of Sweden and road number 404 is in the north of Sweden.,['SE'],0,['SWE']
230,Swedish county roads contain 3 digits and range from 100 to 404.,['SE'],0,['SWE']
231,This is what Swedish county roads look like on the map.,['SE'],0,['SWE']
232,The efficient and simple road numbering system in the Nordic countries comes to a grinding halt (or a ‘Finish’) when we encounter the Finnish.,['FI'],0,['FIN']
233,The 1st class main roads in Finland are denoted by red signs with white lettering.,['FI'],0,['FIN']
234,The 1st class roads in Finland connect the major Finnish cities.,['FI'],0,['FIN']
235,The 1st class roads numbered 1-7 radiate away from Helsinki with the numbers increasing in a clockwise direction.,[],0,[]
236,1st class roads 8-10 radiate in a clockwise order away from the city of Turku and 11 and 12 radiate in a clockwise order away from Tampere.,[],0,[]
237,The remainder of the 1st class roads- 13 up to 39 begin in other large Finnish cities.,['FI'],0,['FIN']
238,1st class Finnish roads range in number from 1-39.,['FI'],0,['FIN']
239,These roads connect major Finnish cities.,['FI'],0,['FIN']
240,1st class Finnish roads appear like this on the map.,['FI'],0,['FIN']
241,The 2nd class main roads in Finland are denoted by signs with yellow backgrounds and black lettering.,['FI'],0,['FIN']
242,2nd class main roads connect regional centres in Finland.,['FI'],0,['FIN']
243,This means roads numbered closer to 40 will typically be in the south of Finland and roads numbered closer to 99 will normally be in the north of the country.,['FI'],0,['FIN']
244,2nd class Finnish roads range in number from 40-99.,['FI'],0,['FIN']
245,2nd class Finnish roads as they appear on the map.,['FI'],0,['FIN']
246,"This map of Finland illustrates that 1st class roads (those with red signs, shown with red lines) connect the major Finnish cities.",['FI'],0,['FIN']
247,"The map also shows that 2nd class roads (those with yellow signs, shown with yellow lines) connect regional centres in Finland.",['FI'],0,['FIN']
248,The third type of road in Finland are regional roads.,['FI'],0,['FIN']
249,This means road number 100 is at the South of Finland and road number 999 is at the north of the country.,['FI'],0,['FIN']
250,Regional roads in Finland contain 3 digits.,['FI'],0,['FIN']
251,This means road 100 is in the south of Finland and road 999 is in the north of Finland.,['FI'],0,['FIN']
252,The last type of GeoGuessr relevant road in Finland are connecting roads.,['FI'],0,['FIN']
253,The Finns really are fond of using numbers instead of road names aren’t they.,[],0,[]
254,This means that road number 1000 is at the south of Finland and road 9999 is at the north of Finland.,['FI'],0,['FIN']
255,Connecting roads in Finland contain 4 digits.,['FI'],0,['FIN']
256,This means road 1000 is in the south of Finland and road 9999 is in the north of Finland.,['FI'],0,['FIN']
257,How connecting roads in Finland appear on the map.,['FI'],0,['FIN']
258,"In Japan, prefectural roads are denoted by a blue hexagonal logo containing a number.",['JP'],0,['JPN']
259,How Japanese prefectural roads appear on the map (they are hard to find).,['JP'],0,['JPN']
260,How Japanese prefectural roads appear on signs: a number within a hexagon.,['JP'],0,['JPN']
261,The most useful road numbers in Japan are the national highways.,['JP'],0,['JPN']
262,How Japanese national highways appear on the map.,['JP'],0,['JPN']
263,The triangle with rounded edges denotes Japanese national highways.,['JP'],0,['JPN']
264,A table indicating where to look for specific Japanese national highway numbers (the roads denoted by rounded triangles containing a number).,['JP'],0,['JPN']
265,(Source and more info on Japanese roads: https://sites.google.com/site/roadnumberingsystems/home/countries/japan).,['JP'],0,['JPN']
266,The right half of the table refers to roads on the northern island of Hokkaido and the left column of the table refers to the remainder of Japan.,['JP'],0,['JPN']
267,Aomori to Okinawa explain where a specific road is found.,[],0,[]
268,Aomori is on the northern part of the main island and Okinawa Island is south of the main island.,[],0,[]
269,"“338-390 Aomori- Okinawa, direction of increase N-S”.",[],0,[]
270,This information tells us that road number 338 will appear near Aomori at the northern tip of the main island.,[],0,[]
271,The road numbers will get larger until road number 390 is found near Okinawa at the southern part of Japan.,['JP'],0,['JPN']
272,Mile and Kilometre Markers: I have already touched on the kilometre markers used in the vastness of Russia but many other countries also have signs with numbers on the sides of their highways.,['RU'],0,['RUS']
273,These JCT signs pop up typically around 400 metres away from an intersection.,[],0,[]
274,"Warning signs that are diamond shaped and yellow are ubiquitous in North and South America, Australia (and New Zealand if you count it as a real country), Ireland (it’s very useful for picking Ireland from the rest of Europe), Japan and South-East Asia.","['AU', 'IE', 'JP', 'NZ']",0,"['AUS', 'IRL', 'JPN', 'NZL']"
275,"These countries include: Greece, Finland, Sweden, Iceland, North Macedonia and South Korea.","['FI', 'GR', 'IS', 'KR', 'MK', 'SE']",0,"['FIN', 'GRC', 'ISL', 'KOR', 'MKD', 'SWE']"
276,"These yellow coloured and red bordered signs are useful for distinguishing Finland, Sweden and Iceland from the white coloured and red bordered signs of Norway and Denmark.","['DK', 'FI', 'IS', 'NO', 'SE']",0,"['DNK', 'FIN', 'ISL', 'NOR', 'SWE']"
277,"Other shaped signs (such as circle-shaped signs) in Finland, Sweden and Iceland also have this unique red outer and yellow colouring.","['FI', 'IS', 'SE']",0,"['FIN', 'ISL', 'SWE']"
278,Poland is unique as it has the red outline and yellow filling but the red outline is very thin.,['PL'],0,['POL']
279,"This type of warning sign (a thick red outline with yellow colouring) with various images on it occurs in Finland, Sweden, Iceland, Greece, North Macedonia, Vietnam and South Korea.","['FI', 'GR', 'IS', 'KR', 'MK', 'SE', 'VN']",0,"['FIN', 'GRC', 'ISL', 'KOR', 'MKD', 'SWE', 'VNM']"
280,This type of warning sign (thin red outline and yellow coloured) with various images on it occurs only on Poland.,['PL'],0,['POL']
281,"This type of warning sign (yellow and diamond shaped) occurs throughout virtually all of North and South America as well as Australia, New Zealand, Ireland, Japan and most of south-east Asia.","['AU', 'IE', 'JP', 'NZ']",0,"['AUS', 'IRL', 'JPN', 'NZL']"
282,"This type of warning sign (with various images on it) featuring a red outline and white middle occurs throughout most of Africa, Asia (not south-east Asia) and Europe.",[],0,[]
283,If you see a mountain range to your north and you are in some obscure and tiny European country then placing the pin on the map just south of the mountain range is sensible.,[],0,[]
284,"For instance, if you think you are in the USA and you see lush, green surrounds then look on the map for what parts are coloured dark green; the eastern and far western parts of the country.",['US'],0,['USA']
285,If you see dry grass around you that is tinged yellow then click on the map where there is yellowish colours such as the central and western parts of the USA.,['US'],0,['USA']
286,"If you have a mansion in front of you then it’s unlikely you are in the midst of Uganda, unless it’s some warlord’s house.",['UG'],0,['UGA']
287,Poorer and smaller houses are typically scattered across Eastern Europe and Russia.,['RU'],0,['RUS']
288,"A different style of poorer houses occupies everything south of the USA, including Mexico (Mexico sometimes has colourful houses) and South America.","['MX', 'US']",0,"['MEX', 'USA']"
289,"A key point to remember in GeoGuessr is that if you see a red house or several red houses then you are probably in a Nordic country (Sweden, Norway, Finland, Iceland or Denmark).","['DK', 'FI', 'IS', 'NO', 'SE']",0,"['DNK', 'FIN', 'ISL', 'NOR', 'SWE']"
290,"The UK has its own distinctive style of houses that are closely packed together, in drab colours and often double storey.",['GB'],0,['GBR']
291,A Nordic style house.,[],0,[]
292,The house style that is widespread in the UK.,['GB'],0,['GBR']
293,"Houses in the Baltic countries of Lithuania, Latvia and Estonia commonly have slanting metal roofs like those pictured.","['EE', 'LT', 'LV']",0,"['EST', 'LTU', 'LVA']"
294,"Navigating within the USA, I have found that the houses are heterogeneous enough to provide a reasonable location accuracy.",['US'],0,['USA']
295,"For instance, Colonial style houses litter the north-east part of the USA.",['US'],0,['USA']
296,Ranch style houses often appear in the southern USA states.,['US'],0,['USA']
