Continent,Country,Weather and Geography
africa,comoros,"The climate is tropical and very warm. Coastal areas are hot and very humid, interspaced with rains and seasonal cyclones (January to April). The upland areas are cooler, particularly at night, and have higher rainfall. The rainy season is from November to April. Lightweight cottons and linens with waterproofing during the rainyseason. Warmer garments and rainwear are needed for the mountains. The Comoro archipelago is situated in the Indian Ocean, north of Madagascar. It consists of four main islands of volcanic origin, which are surrounded by coral reefs: Ngazidja (formerly Grande Comore), Nzwani (formerly Anjouan), Mwali (formerly Mohéli) and Mahoré (Mayotte). The latter is administered by France, but is claimed by the Federal Islamic Republic of the Comoros. Land can only support subsistence agriculture, but the surrounding seas are rich in marine life."
africa,democratic-republic-of-congo,"Varies according to distance from the equator, which lies across the north of the country. The dry season in the north is from December to February, and in the south, April to October. The temperature is warm year round and humidity is high. Lightweight clothes are recommended all year, with rainwear during the rainy season. The Democratic Republic of Congo is the third-largest country in Africa and is bordered to the north by the Central African Republic and Sudan, to the east by Uganda, Rwanda, Burundi and Tanzania, to the south by Zambia and Angola, and to the west by the Republic of Congo and the Angolan enclave, Cabinda. The country has a coastline of only 27km (17 miles), at the outlet of the Congo River, which flows into the Atlantic. The country straddles the equator and has widely differing geographical features, including mountain ranges in the north and west, a vast central plain through which the Congo River flows, and the volcanoes and lakes of the Kivu region. The river has given rise to extensive tropical rainforests on the western border with the Republic of Congo."
africa,djibouti,"Extremely hot and particularly arid between June and August when the dusty Khamsin blows from the desert. Between October and April it is slightly cooler with occasional light rain; however, there is generally less than 150mm (6in) of rainfall annually. Djibouti is part of the African continent, bordered to the northeast and east by the Red Sea, the southeast by Somalia, the southwest by Ethiopia and to the north by Eritrea. The country is a barren strip of land around the Gulf of Tadjoura, varying in width from 20km (12 miles) to 90km (56 miles), with a coastline of 300km (188 miles), much of it white sandy beaches. Inland is semi-desert and desert, with thorn bushes, steppes and volcanic mountain ranges."
africa,egypt,"Egypt is a huge country with plenty of variety in its climate; when it’s chilly and wet in Alexandria, it can be ravishingly hot in Aswan. The best time to visit most sights, including the pyramids and the Valley of the Kings, or diving in the Red Sea, is from February to April and October to November. During these months the heat reminds you that it's the ‘Land of the Sun', but not too hot to be enjoyable. At this time, the skies and sea are a perfect blue. The downside is that these are the most popular times of the year for visitors. In April, the hot, dusty khamsin wind blows from the Sahara, making touring of sights potentially troublesome; during an intense sand storm, vision may be reduced to a few metres. During the hot, dry summers (June-August) there’s always the risk of dehydration and heat exhaustion, which might confine visitors indoors during the early afternoon. Winters (November-February) are usually mild and often overcast, leaving the desert and its ancient monuments looking lacklustre. Rainfall is negligible except on the coast. Loose, lightweight, modest cottons and linens, with warmer clothes for winter and cooler evenings, are culturally and climatically suitable. Traditional home of the roaming Bedouin, most of Egypt's landmass is comprised of flat, mostly featureless desert, supportive of minimal vegetation. The Mediterranean Sea forms Egypt's northern border, bringing cooler weather to the seaboard city of Alexandria and providing a coastal getaway for Cairo's residents. To the east, lies the mountainous Sinai Peninsula, which borders Israel and the Palestinian Territories; to the south, the deserts of Egypt quietly roll into the deserts of Sudan; to the west, the Great Western Desert forms an almost seamless wilderness through Libya and beyond. Sinai is divided from the main landmass of Africa by the country's busy shipping lane, the Suez Canal. For centuries, however, it was the River Nile, plied by felucca (traditional Nile sailing boats), that provided the main conduit for trade along the country's length. Railways and roads now compete for that distinction, but the Nile remains an important economic and cultural artery. The Nile perfuses the Delta north of Cairo, supporting 90% of the population in a flood land of cotton and rice-growing crops. The river's potency has been reduced since the building of the Aswan Dam; on the positive side, the dam has provided the country with a safe and reliable electricity supply - and has had the side effect of keeping the crocodiles out."
africa,equatorial-guinea,"Tropical climate all year round. Rainfall is heavy for most of the year, decreasing slightly in most areas between December and February. Lightweight cottons and linens. Waterproofing is necessary. Equatorial Guinea is bordered to the south and east by Gabon, to the north by Cameroon and to the west by the Gulf of Guinea. The country also comprises the island of Bioko, formerly Fernando Po, 34km (21 miles) off the coast of Cameroon, and the small offshore islands of Corisco, Great Elobey, Small Elobey and Annobón (formerly Pagalu). The mainland province, Rió Muni, is mainly forest, with plantations on the coastal plain and some mountains. Bioko rises steeply to two main peaks in the north and south. The southern area is rugged and inaccessible. Cultivation and settlements exist on the other slopes; above the farming land, the forest is thick. The beaches around the islands are extremely beautiful."
africa,eritrea,"There is no time of year that is particularly unsuitable for visiting Eritrea. The country can be divided into three major zones: the central highlands, the coastal region, and the western lowlands. Each has a different climatic pattern. In the highlands, the hottest month is usually May with highs around 30°C (86°F). Winter is between December and February with lows at night that can be near freezing and dramatic temperature differences between day and night. Asmara itself enjoys a pleasant climate all year round. There are two rainy seasons: the short rains in March and April and the main rains from late June to the beginning of September. These are unlikely to impede travel or general enjoyment of the highlands. On the coast, the months from June to September are extremely hot with daily temperatures ranging from 40°C (100°F) to 50°C (122°F) (and hotter in Dankalia). In winter the daily temperature ranges from 21°C (70°F) to 35°C (95°F). This is a good time to visit, when it is not insufferably hot and skies are invariably clear. It is always warm enough to swim, even in the winter months of February to April, which can be cloudy. The rainy season on the coast north of Dankalia falls in the winter months; in Dankalia itself, rain is extremely rare. In the western lowlands, the high temperatures are comparable to those on the coast in the hottest months of April until June. December is the coldest month with temperatures falling as low as 15°C (59°F). The rainy seasons are the same as for the highlands. If you are in the highlands during winter it is advisable to bring at least one set of warm clothes. Otherwise shirts and a couple of pairs of trousers are enough: lightweight cotton for walking, and for wearing in the evening. Despite their limited resources Eritreans are always smartly dressed and even during sandstorms in the lowlands they seem to be able to remain pristine. Eritrea has a large Muslim population and women should dress with this in mind, not exposing the knees or shoulders. This will avoid a lot of trouble, especially in the lowland areas. Shorts are not generally worn, by men or women, in Asmara or other towns, with the exception of the coast, but obviously if you are travelling in Dankalia or other out of the way areas they are practical. As a general rule, Eritreans dress modestly and you should do the same. A sunhat is essential on the coast and in the western lowlands, as too are a good pair of sunglasses. Good walking shoes or boots are essential if you are travelling anywhere other than the major cities. Trainers, flip flops or sandals are all useful, depending on the purpose of your stay. Eritrea is a land of extraordinary physical diversity. It is one of the few countries where visitors can truly experience ‘four seasons in a day’. The eastern lowlands that stretch along the Red Sea for almost 1,000km (625 miles ) offer a stunning variety of scenes, from barren deserts to towering volcanic landscapes. Scattered off the coast and its myriad coral reefs are the 350 islands of the Dahlak Archipelago. In the north is the border with North Sudan and in the south, Djibouti. The centre of the country comprises the precipitous highland plateau that appears to float in the clouds as you wind up the vertiginous slopes of the escarpment from the coast by road or even steam railway. At nearly 2,500m (8,200ft) altitude, Asmara is the highest capital in Africa. Much of the southern highlands is agricultural and borders Ethiopia. To the west of Eritrea, the plateau fractures and tumbles into the western lowlands where a desert landscape stretches out across vast plains and meets the border with the north of Sudan."
africa,eswatini,"Due to variations in altitude, the weather can be changeable. In the Highveld region, temperatures are relatively mild, ranging from between 5°C (41°F) and 21°C (70°F) in the winter, and between 13°C (55°F) and 25°C (77°F) in the summer. The Lowveld has a warmer, drier climate, with average temperatures ranging from 8°C (46°F) to 27°C (81°F) in the winter, and from 18°C (64°F) to 32°C (90°F) in the summer.  Choosing when to visit Eswatini (Swaziland) is a matter of personal preference. The wet summer season, between October and March, can be unbearable in the Lowveld but pleasant in the Highveld. Hikers should aim for an early start during the summer, as the midday heat can get intense and afternoon electrical storms are also quite common. Heavy rains can also have a negative impact on activities such as white-water rafting and caving. The dry winter season, between June and August, is usually mild in the Lowveld but can get quite cold in the Highveld. In the dry season, there is a lack of lush vegetation which makes it easier to see the wildlife. However, since the wildlife reserves throughout the country are so small, it’s always fairly easy to see game all year round. Visit during the rainy season, though, if you want to witness the variety of birds Eswatini (Swaziland) has to offer. Bring light clothing, such as linens, and a jacket for the evenings. Waterproofs are rarely needed unless you're doing a lot of walking between October and March. Since hiking is the best way to see the beautiful landscape, hiking boots or sturdy trainers are a must. Eswatini (Swaziland) is surrounded to the north, west and south by the Mpumalanga province of South Africa and to the east by Mozambique. There are four main topographical regions: the Highveld Inkangala – a wide ribbon of partly reforested, rugged country including the Usutu pine forest; the Peak Timbers in the northwest; the Middleveld, which rolls down from the Highveld through hills and fertile valleys; and the Lowveld, or bush country, with hills rising from 170 to 360m (560 to 1,180ft). The Lubombo plateau is an escarpment along the eastern fringe of the Lowveld, comprising of mainly cattle country and mixed farmland. Eswatini’s (Swaziland's) four major rivers are the Komati, Usutu, Mbuluzi and Ngwavuma."
africa,ethiopia,"Ethiopia is an ecologically diverse country; you can therefore expect several climate zones ranging from tropical savanna in the west to warm desert climate in the east. Most of the country is highland with many of its tourist destinations like Lalibela and Gondar are at an elevation above 2,000m (6,561ft). These places enjoy a considerably cooler climate year-round. Generally, the best time to visit Ethiopia is between November and February when clear, sunny days bring regular average temperatures of 25°C (77°F). This period is considered the dry season as rainfall is at its lowest. This is also a prime time for bird watching. If you're heading to the countryside, the period between September to October is an excellent time to visit as the landscapes are lushly pretty after all the rain. The best time to visit Addis Ababa, Aksum, Lalibela and Gondar The best time to visit Addis Ababa, Aksum, Lalibela and Gondar is from November to April. The rainy season (July and August) brings soaring temperatures and humid conditions to most places in Ethiopia, including Addis Ababa, Aksum, Lalibela and Gondar. July is the wettest month for Gondar and Aksum, while August is the wettest month for Addis Ababa and Lalibela. March, April, May, June, September and October are considered the shoulder months. It's typically cheaper to travel during these months, but you may get a short burst of rain every now and then. Visitors may also want to coincide your travel with colourful festivals. September 11 is Ethiopian New Year while September 27 is Meskel, which marks the discovery of the True Cross by the Roman Empress Helena. The biggest celebration takes place in Addis Ababa's Meskel Square. Other big days include Gena or Ledet celebrated on January 7, this is considered the Ethiopian Christmas when families gather to enjoy doro wat (chicken stew) with injera. Timkat, the Ethiopian Orthodox equivalent to Epiphany, is celebrated on January 19. The best place to see this festival is Gondar where the Fasil's Pool is filled with water for a re-enactment of the first baptism. The best time to visit the Lower Omo Valley The best time to visit the Lower Omo Valley is from January to April. The weather is dry but hot (particularly in areas around Turmi) and there are many traditional ceremonies taking place. The best time to visit the Danakil Depression Situated in northern Ethiopia near the border with Eritrea, the Danakil Depression sits at the juncture of three tectonic plates and is one of the hottest places on earth with temperatures regularly top 41°C (106°F). There really is no best time to visit this otherworldly place, although some tours may claim that temperatures are more tolerable from October to February. Due to vast altitude differences between highland and lowland areas, if you plan to explore Ethiopia fully you should prepare for a wide range of temperature differences. Bringing clothes that can be easily layered is the obvious choice. You will also need lightweight clothing for the lowlands and medium-weight for the hill country. At least one warm sweater or pullover should be brought along to cope with dramatic temperature drops once the sun goes down. Please note that many churches and monasteries (particular in Lalibela) require women to wear a headscarf and cover their arms and legs. Ethiopia is situated in northeast Africa, in the area known as 'The Horn of Africa'. It is bordered by Eritrea, Sudan, South Sudan, Kenya, Somalia, the self-proclaimed separatist territory of Somaliland, and Djibouti. Encompassing an area of 1,104,300 sq km (426,372 sq miles), it is roughly twice the size of France and is completely landlocked. The central area is a vast highland region of volcanic rock forming a watered, temperate zone surrounded by hot, arid, inhospitable desert. The Great Rift Valley (which starts in Palestine, runs down the Red Sea and diagonally southwest through Ethiopia, Kenya and Malawi) slices through the central mountain ranges. The escarpments on either side of the country are steepest in the north where the terrain is very rugged. Within the country there is a huge diversity in altitude. The highest point is at Ras Dashen in the Simien Mountains, which at 4,550m (14,930 ft) is Africa's 10th tallest mountain. The lowest point is inside the Danakil Depression which reaches 125m (410ft) below sea level. To the south, the landscape is generally flatter and much of the east and southeast is taken over by semi-arid scrubland. Although mass- deforestation has been a problem since the Middle Ages, the lowlands are still noted for their verdant evergreen forests. Ethiopia is home to four major river systems, the most important being the Blue Nile which begins at Lake Tana."
africa,gabon,"Equatorial with up to 80% humidity. The dry season is from June to August, and the main rainy season is from October to May. Average temperatures are 25°C (77°F). Lightweight tropical wear, with raincoats advised during the rainy season. Gabon is bordered to the west by the Atlantic Ocean, to the north by Equatorial Guinea and Cameroon, and to the east and south by the Congo. The 800km-long (500 miles) sandy coastal strip is a series of palm-fringed bays, lagoons and estuaries. The lush tropical vegetation (which covers about 82% of the interior) gives way in parts to the savannah. There are many rivers and they remain the main communication routes along which settlements have grown. Of the 40 or so Bantu tribes, the largest are the Fang, Eshira, Mbele and Okande. Only a small percentage of native Gabonese live in the towns, as the population is concentrated in the coastal areas and the villages along the banks of the many rivers, following a more traditional rural style of life."
africa,gambia,"The Gambia lies in a region that arguably has the most agreeable climate in West Africa; the weather is subtropical, with distinct dry and rainy seasons. Temperatures highs tend to average 29°C (84°F) – 34°C (93°F). From mid-November to early June, coastal areas are usually dry, while the rainy season lasts from mid to late June to October. Inland, the cool season is shorter, and daytime temperatures are very high between March and June. Sunny periods occur on most days, even during the rainy season, when showers can be short and spectacular. Most charter flights run from November to May, coinciding with the time of year when the temperature is pleasant and humidity is low. November is The Gambia’s least rainy month, offering a less humid and sunny holiday. Christmas and Easter are the two busiest travel periods, while the shoulder seasons represent the best times to arrive if you wish to escape the crowds. June to August, although rainy, offer a great alternative and lush green vegetation. Bird watchers will revel in this period, as colourful species in their breeding plumage emerge. Lightweight or tropical for most of the year, with rainwear for the rainy season. The Gambia, situated on West Africa's Atlantic coast, is a thin ribbon of land, at no point wider than 50km (30 miles), running east-west on both banks of the River Gambia. In the east, where the river dwindles, the country is barely 15km (9 miles) wide. The smallest and westernmost mainland African nation, The Gambia is essentially an enclave of Senegal with whom it shares 740km (460 miles) of land border. To the west though, The Gambia is bordered by the Atlantic Ocean and has 80km (50 miles) of coastline. The country is predominantly a low plateau, which decreases in height as it nears the Atlantic coast. The plateau is bisected by the river and is broken in a few places by low flat-topped hills and by the river's tributaries. The landscape is essentially flat, with the highest point just 53m (174ft) above sea level. In the west of the country, near the coast, the riverbanks are backed mainly by mangrove swamps, while in the inland area, which extends from central Gambia to the eastern border, the river is lined by steep, red ironstone banks covered with tropical forest. Away from the river, find wooded, park-like savannah, with large areas carpeted by a variety of trees such as baobab, silk-cotton, mahogany and oil palm. On the coast, the river meets the Atlantic with impressive sand cliffs and 50km (31 miles) of beaches, the best of which are broad, palm-fringed and strewn with shells."
africa,ghana,"Ghana has a typically tropical climate thanks to its proximity to the equator and low elevations – the entire country lies below 1,000m (3300ft). Daytime temperatures are high throughout the year, approaching or surpassing 30°C (86°F) on most days, and humidity is also very high, especially along the coast. Temperatures tend to drop to around 20°C (68°F) drop at night, more noticeably in the relatively dry north than the humid south. The most temperate part of Ghana is the highlands area flanking the Volta Basin, which is often pleasantly cool after dusk. There are two rainy seasons: from March to July and from September to October Rainfall is highest in the south, with some areas receiving in excess of 2,000mm each year, but the drier north more typically receives about 800mm annually. The capital Accra, together with the coast running east to Togo and Benin, lies within the Dahomey Gap, a tract of savannah that receives relatively little rain and divides the Upper Guinean forests (running westward from central Ghana) from the Lower Guinean forests (running southward from Nigeria southward to the Congo). A noteworthy climatic phenomenon is the harmattan winds, which blow in from the northeast from December to March, bringing dust from the Sahara and reducing visibility to as little as 1km (0.6 miles). Ghana is fine to visit at all times of year, but if you have the choice, aim for the northern hemisphere winter i.e. October through to April, when humidity is lowest and the weather is typically quite dry. There are also fewer mosquitoes (and a decreased risk of contracting malaria), dirt roads are in better condition, and there is less likelihood of you or your luggage being drenched in an unexpected storm. However, photographers might want to avoid the dull ambient light and grey skies associated with the harmattan in December. Light and loose is the way to go in this humid tropical climate. Bring light trousers or skirts made of a natural fabric such as cotton, combined with a stash of cotton T-shirts, and plenty of socks and underwear, also ideally must be made from natural fabrics to prevent fungal infections. Ghanaians are relatively relaxed about dress codes, but women should keep their shoulders covered and wear a skirt below the knees in the predominantly Muslim north. One sweater or sweatshirt should be adequate, since night time temperatures are seldom chilly. As for footwear, a good pair of walking shoes with solid ankle support is a must, but you'll also want sandals or thongs. If you forget anything, don't stress: there is a massive used-clothing industry in Ghana, and having new clothes made from local fabrics is quick and affordable. Ghana is situated in West Africa between latitudes of 4°N and 12°N, and longitudes of 4°W and 2°E. It is a rectangular-shaped country bordered to the north by Burkina Faso, the east by Togo, the south by the Atlantic Ocean and the west by Côte d'Ivoire. It is bisected by the Prime Meridian (0°longitude), which runs through the port city of Tema, 25km (16 miles) east of the capital Accra, and Cape Three Points, the most southerly peninsula in Ghana, is also the closest land fall to the oceanic intersection of the Prime Meridian and the Equator. Ghana's coastline is dotted with sandy palm-fringed beaches and lagoons. A narrow grassy plain stretches inland from this, widening in the east, while the south and west are covered by dense rainforest. To the north are forested hills, beyond which is dry savannah and open woodland. In the far north is a plateau averaging 500m (1,600ft) in height. In the east, the Akuapim Togo hills run inland from the coast along the Togo border. The country falls almost entirely within the Volta Basin, with the Red, Black and White Volta rivers all flowing into its northern borders from Burkina Faso. Following the 1960s construction of Akosombo Dam, about 60km (37 miles) inland of the Volta Mouth, much of the river is now submerged by Lake Volta, the world’s most expansive artificial water body."
africa,guinea,"The climate is tropical and humid with a wet and a dry season. Guinea is one of the wettest countries in West Africa. The monsoon season with a southwesterly wind lasts from June to November; The dry season with a northeasterly harmattan lasts from December to May. Tropical wear, lightweight and natural fabrics throughout the year. A light raincoat or umbrella is needed during the rainy season. The Republic of Guinea is located in West Africa and bordered to the northwest by Guinea-Bissau, the north by Senegal and Mali, the east by Côte d'Ivoire, the south by Liberia and the southwest by Sierra Leone. Guinea's many rivers supply water to much of West Africa. The River Niger flows north from the southern highlands into Mali before turning south again through Niger and Nigeria. The coastal plain is made up of mangrove swamps, while inland are the Fouta Djalon hills which form several distinct ranges and plateaux over the whole of western Guinea. In the northeast, savannah plains of the Sahel region stretch into Mali. To the south are mountains known as the Guinea Highlands."
